frameIndex,localTime,globalTime
942,59995.371188969,119959.37071651069
943,59995.404527697,119959.40405523867
944,59995.437846996,119959.43737453768
945,59995.471187058,119959.47071459968
946,59995.504511107,119959.50403864868
947,59995.537838419,119959.53736596068
948,59995.57117305,119959.57070059168
949,59995.604517431,119959.60404497269
950,59995.637847868,119959.63737540969
951,59995.671178708,119959.67070624969
952,59995.704507311,119959.70403485268
953,59995.737836816,119959.73736435769
954,59995.771154878,119959.77068241968
955,59995.80449955,119959.80402709168
956,59995.837828612,119959.83735615367
957,59995.871160327,119959.87068786868
958,59995.904481929,119959.90400947069
959,59995.937820145,119959.93734768667
960,59995.97114908,119959.97067662168
961,59996.004488797,119960.00401633867
962,59996.037815013,119960.03734255469
963,59996.07115417,119960.07068171169
964,59996.104483714,119960.10401125568
965,59996.13780549,119960.13733303169
966,59996.171134658,119960.17066219967
967,59996.204468683,119960.20399622468
968,59996.23779452,119960.23732206167
969,59996.271143002,119960.27067054369
970,59996.30446084,119960.30398838168
971,59996.337803925,119960.33733146668
972,59996.37112146,119960.37064900168
973,59996.404456917,119960.40398445868
974,59996.437782572,119960.43731011369
975,59996.471112114,119960.47063965569
976,59996.504445891,119960.50397343267
977,59996.537790475,119960.53731801668
978,59996.571112003,119960.57063954469
979,59996.604453794,119960.60398133568
980,59996.637772657,119960.63730019868
981,59996.671100115,119960.67062765668
982,59996.704430365,119960.70395790668
983,59996.737761891,119960.73728943268
984,59996.771107391,119960.77063493268
985,59996.80442471,119960.80395225168
986,59996.837760253,119960.83728779468
987,59996.87108967,119960.87061721168
988,59996.904426029,119960.90395357068
989,59996.937749531,119960.93727707268
990,59996.971083767,119960.97061130867
